Data,CO,MP10,O3,MP2.5,SO2
01/01/2015,0.0,,68.0,,82.0
01/01/2016,1.0,26.0,,32.0,6.0
01/01/2018,0.0,,39.0,,10.0
01/01/2019,1.0,10.0,,,16.0
01/01/2020,0.0,,,6.0,
01/01/2021,0.0,11.0,,11.0,
01/02/2015,0.0,22.0,,,
01/02/2016,0.0,14.0,80.0,6.0,10.0
01/02/2017,0.0,14.0,47.0,4.0,
01/02/2018,,,27.0,7.0,10.0
01/02/2019,0.0,14.0,54.0,6.0,22.0
01/02/2020,0.0,29.0,,26.0,
01/03/2015,0.0,13.0,,,
01/03/2016,0.0,13.0,59.0,6.0,12.0
01/03/2017,0.0,16.0,40.0,6.0,
01/03/2018,0.0,19.0,62.0,,14.0
01/04/2015,1.0,30.0,79.0,,82.0
01/04/2016,0.0,24.0,58.0,9.0,18.0
01/04/2017,0.0,20.0,46.0,3.0,
01/04/2018,0.0,10.0,57.0,6.0,10.0
01/04/2019,1.0,,87.0,,16.0
01/04/2020,,12.0,,9.0,
01/05/2015,0.0,20.0,69.0,,66.0
01/05/2016,1.0,26.0,50.0,35.0,24.0
01/05/2018,0.0,14.0,74.0,8.0,10.0
01/05/2019,1.0,12.0,,10.0,16.0
01/05/2020,0.0,25.0,,29.0,
01/06/2015,0.0,33.0,43.0,10.0,
01/06/2016,1.0,31.0,58.0,34.0,24.0
01/06/2017,1.0,,30.0,40.0,
01/06/2018,1.0,23.0,37.0,,10.0
01/06/2019,1.0,43.0,75.0,55.0,16.0
01/06/2020,1.0,34.0,,,
01/07/2015,0.0,28.0,38.0,7.0,
01/07/2016,1.0,50.0,32.0,49.0,26.0
01/07/2017,1.0,34.0,50.0,29.0,4.0
01/07/2018,1.0,11.0,50.0,6.0,
01/07/2019,1.0,30.0,34.0,,
01/07/2020,,,,27.0,
01/07/2021,0.0,,,,
01/08/2015,0.0,14.0,49.0,6.0,
01/08/2016,0.0,12.0,53.0,,28.0
01/08/2017,0.0,19.0,42.0,6.0,4.0
01/08/2018,1.0,22.0,38.0,11.0,
01/08/2019,0.0,19.0,65.0,10.0,
01/08/2020,,7.0,,6.0,2.0
01/08/2021,0.0,,,,
01/09/2015,0.0,38.0,,27.0,
01/09/2016,0.0,26.0,42.0,37.0,32.0
01/09/2018,1.0,,54.0,,12.0
01/09/2019,0.0,21.0,,29.0,
01/09/2020,0.0,15.0,,,16.0
01/09/2021,0.0,,,,
01/10/2015,0.0,30.0,85.0,29.0,
01/10/2016,0.0,10.0,65.0,,32.0
01/10/2017,0.0,16.0,56.0,12.0,6.0
01/10/2018,1.0,22.0,54.0,11.0,10.0
01/10/2019,,,,8.0,
01/10/2020,0.0,,,11.0,30.0
01/11/2015,0.0,12.0,78.0,5.0,0.0
01/11/2016,1.0,28.0,55.0,10.0,36.0
01/11/2017,0.0,,32.0,,6.0
01/11/2018,1.0,18.0,,11.0,12.0
01/11/2019,,16.0,,10.0,
01/11/2020,,,,,34.0
01/12/2015,0.0,14.0,,6.0,4.0
01/12/2016,0.0,11.0,36.0,4.0,38.0
01/12/2017,1.0,,25.0,,10.0
01/12/2019,0.0,11.0,,5.0,
01/12/2020,0.0,20.0,,11.0,43.0
