Data,CO,MP10,O3,MP2.5,SO2
01/01/2015,,12.0,54.0,,8.0
01/01/2016,0.0,17.0,42.0,,0.0
01/01/2018,,26.0,29.0,10.0,0.0
01/01/2019,0.0,16.0,34.0,4.0,0.0
01/01/2020,0.0,11.0,40.0,,2.0
01/01/2021,0.0,6.0,55.0,,8.0
01/01/2022,0.0,,22.0,11.0,0.0
01/02/2015,0.0,14.0,54.0,,2.0
01/02/2016,0.0,10.0,38.0,4.0,2.0
01/02/2017,0.0,11.0,36.0,7.0,2.0
01/02/2018,0.0,12.0,22.0,,
01/02/2019,0.0,26.0,50.0,8.0,2.0
01/02/2020,1.0,26.0,41.0,6.0,
01/02/2021,0.0,17.0,33.0,11.0,4.0
01/02/2022,1.0,22.0,26.0,11.0,0.0
01/03/2015,0.0,,,,
01/03/2016,0.0,9.0,27.0,6.0,2.0
01/03/2017,0.0,9.0,46.0,,2.0
01/03/2018,0.0,23.0,56.0,6.0,2.0
01/03/2019,1.0,22.0,,6.0,2.0
01/03/2020,0.0,9.0,46.0,4.0,2.0
01/03/2021,,9.0,31.0,10.0,0.0
01/03/2022,0.0,10.0,25.0,10.0,0.0
01/04/2015,1.0,6.0,39.0,,2.0
01/04/2016,0.0,12.0,26.0,8.0,0.0
01/04/2017,0.0,8.0,50.0,2.0,2.0
01/04/2018,0.0,19.0,56.0,5.0,8.0
01/04/2019,0.0,25.0,50.0,,4.0
01/04/2020,0.0,30.0,26.0,5.0,4.0
01/04/2021,1.0,24.0,47.0,26.0,2.0
01/04/2022,0.0,15.0,27.0,11.0,0.0
01/05/2015,0.0,15.0,40.0,,2.0
01/05/2016,,16.0,26.0,,4.0
01/05/2017,0.0,4.0,36.0,,0.0
01/05/2018,,27.0,68.0,9.0,2.0
01/05/2019,0.0,20.0,38.0,6.0,0.0
01/05/2020,1.0,35.0,60.0,11.0,4.0
01/05/2021,0.0,,36.0,11.0,6.0
01/05/2022,0.0,11.0,28.0,10.0,0.0
01/06/2015,0.0,22.0,29.0,,2.0
01/06/2016,1.0,36.0,22.0,40.0,4.0
01/06/2017,1.0,30.0,40.0,40.0,2.0
01/06/2018,1.0,27.0,35.0,10.0,4.0
01/06/2019,1.0,53.0,49.0,32.0,8.0
01/06/2020,1.0,50.0,46.0,,8.0
01/06/2021,1.0,17.0,31.0,11.0,0.0
01/06/2022,0.0,17.0,26.0,30.0,
01/07/2015,0.0,15.0,29.0,,4.0
01/07/2016,0.0,10.0,18.0,,0.0
01/07/2017,0.0,18.0,47.0,29.0,4.0
01/07/2018,0.0,19.0,51.0,6.0,10.0
01/07/2019,1.0,34.0,50.0,10.0,4.0
01/07/2020,1.0,36.0,24.0,10.0,4.0
01/07/2021,0.0,26.0,36.0,32.0,2.0
01/07/2022,0.0,32.0,31.0,32.0,0.0
01/08/2015,0.0,16.0,,,4.0
01/08/2016,0.0,14.0,33.0,10.0,0.0
01/08/2017,0.0,14.0,46.0,8.0,6.0
01/08/2018,1.0,39.0,45.0,27.0,4.0
01/08/2019,1.0,34.0,57.0,5.0,2.0
01/08/2020,0.0,17.0,40.0,4.0,2.0
01/08/2021,0.0,21.0,36.0,,0.0
01/08/2022,0.0,27.0,26.0,29.0,0.0
01/09/2015,,38.0,57.0,,6.0
01/09/2016,0.0,10.0,22.0,7.0,2.0
01/09/2017,0.0,28.0,64.0,35.0,0.0
01/09/2018,0.0,24.0,58.0,9.0,2.0
01/09/2019,0.0,43.0,74.0,10.0,6.0
01/09/2020,1.0,28.0,48.0,9.0,4.0
01/09/2021,0.0,12.0,33.0,9.0,2.0
01/09/2022,0.0,16.0,25.0,,0.0
01/10/2016,0.0,14.0,32.0,8.0,0.0
01/10/2017,,26.0,,29.0,
