Date,DayOfWeek,DayOfWeekNum,WeekOfYear,Month,IsWeekend,IsHoliday,temp_max,temp_min,temp_mean,humidity_max,humidity_min,NUMBER_INT,CO,MP10,O3,MP2.5,SO2
2015-01-01,Thu,3,1,1,0,1,33.9,20.6,25.9125,89.0,32.0,30,0.0,,68.0,,82.0
2015-01-02,Fri,4,1,1,0,0,32.9,21.0,26.05,87.0,38.0,43,0.0,,79.0,,83.0
2015-01-03,Sat,5,1,1,1,0,33.5,20.2,26.683333333333334,83.0,38.0,23,0.0,,44.0,,83.0
2015-01-04,Sun,6,1,1,1,0,30.6,22.2,25.641666666666666,81.0,43.0,20,0.0,,49.0,,82.0
2015-01-05,Mon,0,2,1,0,0,30.8,20.8,25.52083333333333,79.0,36.0,51,0.0,,59.0,,82.0
2015-01-06,Tue,1,2,1,0,0,29.5,20.5,25.016666666666666,79.0,41.0,23,0.0,,54.0,,82.0
2015-01-07,Wed,2,2,1,0,0,28.0,19.9,23.925,78.0,44.0,43,0.0,,54.0,,82.0
2015-01-08,Thu,3,2,1,0,0,30.4,19.7,24.229166666666668,74.0,30.0,49,,,66.0,,82.0
2015-01-09,Fri,4,2,1,0,0,30.5,19.6,24.579166666666666,68.0,28.0,39,,,61.0,,82.0
2015-01-10,Sat,5,2,1,1,0,32.6,20.6,25.8875,73.0,33.0,19,,,51.0,,82.0
2015-01-11,Sun,6,2,1,1,0,32.6,20.1,26.475,66.0,22.0,20,0.0,,70.0,,82.0
2015-01-12,Mon,0,3,1,0,0,33.3,19.7,26.79583333333333,64.0,23.0,51,0.0,26.0,76.0,,82.0
2015-01-13,Tue,1,3,1,0,0,33.9,21.4,27.35833333333333,67.0,27.0,35,0.0,26.0,,,
2015-01-14,Wed,2,3,1,0,0,32.5,21.8,26.604166666666668,61.0,32.0,31,,26.0,,,
2015-01-15,Thu,3,3,1,0,0,30.1,20.1,25.0625,67.0,33.0,40,,24.0,,,
2015-01-16,Fri,4,3,1,0,0,32.4,20.9,25.90416666666667,65.0,29.0,36,0.0,25.0,,,
2015-01-17,Sat,5,3,1,1,0,32.1,20.4,25.98333333333333,62.0,27.0,31,0.0,22.0,,,
2015-01-18,Sun,6,3,1,1,0,32.9,18.5,26.641666666666666,72.0,23.0,21,0.0,19.0,,,
2015-01-19,Mon,0,4,1,0,0,32.6,21.2,26.9125,61.0,29.0,37,0.0,24.0,,,
2015-01-20,Tue,1,4,1,0,0,32.7,19.9,26.33333333333333,64.0,25.0,34,0.0,27.0,,,
2015-01-21,Wed,2,4,1,0,0,35.1,20.9,26.65,71.0,25.0,47,0.0,31.0,,,
2015-01-22,Thu,3,4,1,0,0,33.2,20.0,26.73478260869565,74.0,28.0,27,0.0,25.0,,,
2015-01-23,Fri,4,4,1,0,0,31.0,21.2,25.175,75.0,34.0,30,0.0,23.0,,,
2015-01-24,Sat,5,4,1,1,0,28.6,17.9,21.39583333333333,91.0,47.0,19,0.0,19.0,,,
2015-01-25,Sun,6,4,1,1,0,29.4,17.2,21.15833333333333,93.0,43.0,23,0.0,20.0,,,
2015-01-26,Mon,0,5,1,0,0,30.8,18.3,22.6125,93.0,38.0,43,0.0,29.0,,,
2015-01-27,Tue,1,5,1,0,0,28.8,16.9,21.7875,94.0,48.0,42,1.0,32.0,,,
2015-01-28,Wed,2,5,1,0,0,30.0,17.4,21.941666666666663,94.0,48.0,40,0.0,29.0,,,
2015-01-29,Thu,3,5,1,0,0,31.6,18.4,24.541666666666668,92.0,37.0,50,0.0,34.0,,,
2015-01-30,Fri,4,5,1,0,0,32.6,21.3,26.2375,84.0,37.0,32,0.0,30.0,,,
2015-01-31,Sat,5,5,1,1,0,32.3,20.7,26.195833333333336,82.0,39.0,27,0.0,27.0,,,
2015-02-01,Sun,6,5,2,1,0,31.2,21.3,25.820833333333336,78.0,36.0,18,0.0,22.0,,,
2015-02-02,Mon,0,6,2,0,0,31.4,21.7,26.02083333333333,69.0,34.0,37,0.0,24.0,,,
2015-02-03,Tue,1,6,2,0,0,30.7,20.6,24.7875,76.0,37.0,42,0.0,22.0,,,
2015-02-04,Wed,2,6,2,0,0,29.1,17.6,22.808333333333334,92.0,48.0,29,0.0,27.0,,,
2015-02-05,Thu,3,6,2,0,0,26.5,18.7,20.791666666666668,93.0,60.0,41,0.0,25.0,,,
2015-02-06,Fri,4,6,2,0,0,21.9,18.6,19.7125,94.0,83.0,47,0.0,28.0,,,
2015-02-07,Sat,5,6,2,1,0,25.9,17.5,19.7375,94.0,62.0,21,0.0,16.0,,,
2015-02-08,Sun,6,6,2,1,0,21.3,18.9,19.7875,94.0,90.0,19,0.0,10.0,,,
2015-02-09,Mon,0,7,2,0,0,25.0,19.0,20.925,94.0,70.0,35,0.0,24.0,,,
2015-02-10,Tue,1,7,2,0,0,30.9,19.5,23.8375,92.0,43.0,50,0.0,19.0,,,
2015-02-11,Wed,2,7,2,0,0,29.6,20.4,24.3875,80.0,46.0,51,,18.0,,,
2015-02-12,Thu,3,7,2,0,0,31.8,20.3,25.504166666666663,81.0,27.0,39,0.0,22.0,,,
2015-02-13,Fri,4,7,2,0,0,32.0,20.6,26.14583333333333,79.0,28.0,41,0.0,22.0,,,
2015-02-14,Sat,5,7,2,1,0,32.5,21.1,26.508333333333336,76.0,31.0,30,0.0,17.0,,,
2015-02-15,Sun,6,7,2,1,0,31.4,21.3,25.27916666666667,81.0,33.0,23,,14.0,,,
2015-02-16,Mon,0,8,2,0,0,30.7,17.0,23.941666666666663,93.0,41.0,33,0.0,17.0,,,
2015-02-17,Tue,1,8,2,0,0,29.5,18.6,22.870833333333334,93.0,48.0,30,0.0,18.0,,,
2015-02-18,Wed,2,8,2,0,0,26.8,18.2,22.4,92.0,58.0,44,,18.0,,,
2015-02-19,Thu,3,8,2,0,0,28.0,18.4,21.441666666666663,93.0,55.0,54,1.0,31.0,,,
2015-02-20,Fri,4,8,2,0,0,29.2,19.1,23.22083333333333,92.0,40.0,55,1.0,26.0,,,
2015-02-21,Sat,5,8,2,1,0,28.7,18.9,23.8375,82.0,40.0,30,0.0,22.0,,,
2015-02-22,Sun,6,8,2,1,0,28.9,18.4,23.8,84.0,35.0,30,0.0,16.0,,,
2015-02-23,Mon,0,9,2,0,0,29.8,19.9,24.64583333333333,82.0,37.0,54,,16.0,,,
2015-02-24,Tue,1,9,2,0,0,28.8,20.0,23.791666666666668,80.0,43.0,40,,15.0,,,
2015-02-25,Wed,2,9,2,0,0,29.9,20.1,23.8875,90.0,43.0,69,,17.0,,,
2015-02-26,Thu,3,9,2,0,0,31.2,19.5,24.304166666666664,92.0,38.0,49,0.0,26.0,,,
2015-02-27,Fri,4,9,2,0,0,27.8,19.0,22.79583333333333,90.0,56.0,47,0.0,26.0,,,
2015-02-28,Sat,5,9,2,1,0,30.2,17.9,22.3375,93.0,39.0,41,0.0,30.0,,,
2015-03-01,Sun,6,9,3,1,0,26.5,20.6,22.995833333333334,85.0,54.0,40,0.0,13.0,,,
2015-03-02,Mon,0,10,3,0,0,28.0,19.1,22.925,85.0,46.0,56,,18.0,,,
2015-03-03,Tue,1,10,3,0,0,29.5,18.8,23.54583333333333,86.0,44.0,55,,14.0,,,
2015-03-04,Wed,2,10,3,0,0,29.9,20.7,23.95833333333333,80.0,45.0,45,,16.0,,,
2015-03-05,Thu,3,10,3,0,0,29.8,18.6,22.491666666666664,92.0,41.0,69,,18.0,,,
2015-03-06,Fri,4,10,3,0,0,30.5,18.9,23.3,91.0,35.0,59,,21.0,,,
2015-03-07,Sat,5,10,3,1,0,30.6,20.1,24.17083333333333,92.0,42.0,38,0.0,16.0,,,
