Data,CO,MP10,O3,MP2.5,SO2
01/01/2015,,24.0,56.0,,0.0
01/01/2016,,32.0,50.0,46.0,0.0
01/01/2018,0.0,,41.0,,0.0
01/01/2019,1.0,,34.0,,2.0
01/01/2020,0.0,15.0,29.0,12.0,0.0
01/01/2021,0.0,10.0,55.0,27.0,0.0
01/01/2022,1.0,10.0,16.0,10.0,0.0
01/02/2015,0.0,21.0,69.0,,2.0
01/02/2016,0.0,22.0,50.0,10.0,2.0
01/02/2017,,26.0,50.0,,0.0
01/02/2018,0.0,16.0,40.0,10.0,0.0
01/02/2019,1.0,30.0,50.0,32.0,4.0
01/02/2020,1.0,18.0,22.0,26.0,8.0
01/02/2021,0.0,20.0,46.0,26.0,6.0
01/02/2022,0.0,10.0,24.0,10.0,0.0
01/03/2015,0.0,17.0,38.0,,8.0
01/03/2016,0.0,18.0,33.0,9.0,0.0
01/03/2017,1.0,20.0,36.0,7.0,0.0
01/03/2018,0.0,,61.0,,0.0
01/03/2019,,18.0,41.0,11.0,6.0
01/03/2020,1.0,16.0,,11.0,4.0
01/03/2021,,,18.0,8.0,4.0
01/03/2022,0.0,8.0,21.0,11.0,0.0
01/04/2015,1.0,44.0,49.0,,4.0
01/04/2016,1.0,33.0,48.0,32.0,0.0
01/04/2017,0.0,20.0,43.0,27.0,0.0
01/04/2018,0.0,,50.0,,6.0
01/04/2020,1.0,17.0,29.0,30.0,0.0
01/04/2021,1.0,28.0,33.0,40.0,0.0
01/04/2022,0.0,15.0,30.0,34.0,2.0
01/05/2015,1.0,30.0,46.0,,4.0
01/05/2016,1.0,36.0,58.0,29.0,0.0
01/05/2017,0.0,11.0,49.0,,0.0
01/05/2018,1.0,30.0,69.0,38.0,8.0
01/05/2019,1.0,30.0,35.0,34.0,10.0
01/05/2020,1.0,38.0,,,6.0
01/05/2021,0.0,,45.0,32.0,8.0
01/05/2022,0.0,18.0,34.0,37.0,0.0
01/06/2015,1.0,43.0,37.0,,4.0
01/06/2016,1.0,67.0,51.0,72.0,2.0
01/06/2017,1.0,34.0,44.0,49.0,2.0
01/06/2018,1.0,32.0,32.0,40.0,12.0
01/06/2019,1.0,52.0,46.0,61.0,0.0
01/06/2020,1.0,23.0,49.0,,6.0
01/06/2021,1.0,34.0,30.0,43.0,4.0
01/06/2022,1.0,29.0,40.0,47.0,
01/07/2016,1.0,64.0,26.0,38.0,4.0
01/07/2017,,53.0,48.0,,12.0
01/07/2018,1.0,29.0,,30.0,14.0
01/07/2019,1.0,47.0,36.0,49.0,2.0
01/07/2020,1.0,,31.0,,2.0
01/07/2021,1.0,30.0,42.0,37.0,2.0
01/07/2022,0.0,25.0,28.0,50.0,6.0
01/08/2015,1.0,32.0,40.0,,2.0
01/08/2016,1.0,50.0,54.0,,2.0
01/08/2017,1.0,31.0,69.0,,6.0
01/08/2018,1.0,57.0,34.0,83.0,12.0
01/08/2019,1.0,43.0,54.0,44.0,2.0
01/08/2020,0.0,14.0,47.0,10.0,0.0
01/08/2021,0.0,32.0,55.0,26.0,2.0
01/08/2022,0.0,18.0,48.0,35.0,6.0
01/09/2015,1.0,63.0,70.0,,12.0
01/09/2016,0.0,38.0,30.0,12.0,0.0
01/09/2017,0.0,45.0,49.0,60.0,6.0
01/09/2018,1.0,28.0,63.0,29.0,6.0
01/09/2019,1.0,39.0,62.0,43.0,6.0
01/09/2020,0.0,24.0,52.0,27.0,0.0
01/09/2021,0.0,23.0,44.0,9.0,4.0
01/09/2022,0.0,12.0,48.0,8.0,6.0
01/10/2015,0.0,57.0,,,4.0
01/10/2016,,32.0,,27.0,
01/10/2017,1.0,23.0,49.0,,2.0
01/10/2018,0.0,24.0,50.0,30.0,4.0
01/10/2019,0.0,,74.0,29.0,0.0
01/10/2020,1.0,32.0,44.0,40.0,2.0
01/10/2021,1.0,21.0,57.0,46.0,0.0
01/10/2022,1.0,14.0,36.0,10.0,0.0
01/11/2015,0.0,18.0,60.0,,0.0
01/11/2016,0.0,26.0,60.0,8.0,2.0
01/11/2018,0.0,22.0,46.0,10.0,2.0
01/11/2019,1.0,33.0,35.0,37.0,0.0
01/11/2020,0.0,11.0,,9.0,10.0
01/11/2021,1.0,,19.0,11.0,0.0
01/11/2022,,12.0,43.0,8.0,2.0
01/12/2015,0.0,,52.0,,2.0
01/12/2016,0.0,29.0,22.0,10.0,4.0
01/12/2017,1.0,17.0,55.0,,2.0
01/12/2018,1.0,,22.0,,4.0
01/12/2019,0.0,13.0,23.0,6.0,2.0
01/12/2020,1.0,22.0,59.0,11.0,0.0
01/12/2021,1.0,13.0,26.0,10.0,2.0
01/12/2022,1.0,,31.0,12.0,2.0
02/01/2015,,29.0,55.0,,2.0
02/01/2016,0.0,18.0,43.0,,2.0
02/01/2018,0.0,,36.0,,0.0
02/01/2019,1.0,20.0,41.0,11.0,6.0
02/01/2020,0.0,12.0,24.0,10.0,2.0
02/01/2021,1.0,6.0,65.0,10.0,2.0
02/01/2022,0.0,8.0,23.0,,2.0
02/02/2015,0.0,34.0,,,2.0
02/02/2016,1.0,32.0,78.0,29.0,0.0
02/02/2017,1.0,30.0,33.0,,0.0
02/02/2018,0.0,,34.0,,0.0
02/02/2019,1.0,22.0,59.0,29.0,4.0
02/02/2020,0.0,19.0,37.0,11.0,2.0
02/02/2021,0.0,21.0,42.0,34.0,4.0
02/02/2022,0.0,13.0,30.0,10.0,2.0
02/03/2015,0.0,30.0,47.0,,4.0
02/03/2016,0.0,24.0,46.0,29.0,0.0
02/03/2017,1.0,38.0,38.0,11.0,0.0
02/03/2018,1.0,31.0,39.0,32.0,0.0
02/03/2019,,,29.0,,4.0
02/03/2020,0.0,10.0,49.0,10.0,2.0
02/03/2021,0.0,,18.0,9.0,6.0
02/03/2022,0.0,10.0,25.0,12.0,0.0
02/04/2015,0.0,24.0,30.0,,2.0
02/04/2016,1.0,33.0,54.0,37.0,0.0
02/04/2017,0.0,24.0,55.0,37.0,0.0
02/04/2018,0.0,23.0,36.0,26.0,4.0
02/04/2020,1.0,16.0,15.0,27.0,2.0
02/04/2021,0.0,23.0,38.0,29.0,0.0
02/04/2022,0.0,10.0,31.0,43.0,0.0
02/05/2015,0.0,21.0,41.0,,2.0
02/05/2016,1.0,,44.0,30.0,0.0
02/05/2017,0.0,20.0,40.0,10.0,0.0
02/05/2018,1.0,40.0,48.0,50.0,8.0
02/05/2019,1.0,31.0,26.0,38.0,0.0
02/05/2020,1.0,34.0,,,2.0
02/05/2021,0.0,,34.0,,0.0
02/05/2022,1.0,31.0,33.0,49.0,2.0
02/06/2015,1.0,27.0,22.0,,2.0
02/06/2016,1.0,43.0,12.0,44.0,0.0
02/06/2017,1.0,26.0,51.0,,2.0
02/06/2018,1.0,49.0,45.0,64.0,4.0
02/06/2019,1.0,50.0,48.0,63.0,8.0
02/06/2020,1.0,,38.0,,4.0
02/06/2021,1.0,29.0,31.0,43.0,2.0
02/06/2022,1.0,22.0,34.0,49.0,14.0
02/07/2016,1.0,43.0,28.0,30.0,4.0
02/07/2017,,35.0,38.0,,2.0
02/07/2018,1.0,39.0,,40.0,14.0
02/07/2019,1.0,50.0,40.0,55.0,6.0
02/07/2020,1.0,,38.0,,2.0
02/07/2021,1.0,25.0,39.0,35.0,0.0
02/07/2022,0.0,14.0,30.0,32.0,0.0
02/08/2015,1.0,30.0,44.0,,2.0
02/08/2016,1.0,,56.0,,6.0
02/08/2017,1.0,57.0,52.0,,6.0
02/08/2018,1.0,,22.0,,8.0
02/08/2019,1.0,43.0,50.0,47.0,4.0
02/08/2020,1.0,17.0,52.0,12.0,10.0
02/08/2021,0.0,29.0,62.0,26.0,12.0
02/08/2022,0.0,22.0,63.0,46.0,4.0
02/09/2015,1.0,67.0,53.0,,2.0
02/09/2016,0.0,35.0,46.0,27.0,2.0
02/09/2017,0.0,25.0,50.0,37.0,6.0
02/09/2018,1.0,27.0,56.0,30.0,6.0
02/09/2019,0.0,45.0,62.0,49.0,2.0
02/09/2020,0.0,22.0,52.0,26.0,0.0
02/09/2021,0.0,18.0,45.0,7.0,0.0
02/09/2022,0.0,19.0,61.0,27.0,2.0
02/10/2015,1.0,48.0,,,4.0
02/10/2016,,18.0,,10.0,
02/10/2017,1.0,31.0,66.0,30.0,4.0
02/10/2018,0.0,25.0,56.0,29.0,2.0
02/10/2019,0.0,,73.0,26.0,4.0
02/10/2020,1.0,35.0,79.0,40.0,2.0
02/10/2021,1.0,21.0,63.0,29.0,0.0
02/10/2022,1.0,15.0,52.0,12.0,0.0
02/11/2015,0.0,18.0,54.0,,0.0
02/11/2016,0.0,21.0,48.0,10.0,2.0
02/11/2018,1.0,28.0,50.0,30.0,0.0
02/11/2019,1.0,18.0,46.0,11.0,2.0
02/11/2020,0.0,10.0,,7.0,0.0
02/11/2021,1.0,,33.0,34.0,0.0
02/11/2022,0.0,5.0,21.0,4.0,4.0
02/12/2015,0.0,,46.0,,2.0
02/12/2016,0.0,24.0,46.0,8.0,2.0
02/12/2017,0.0,12.0,74.0,,0.0
02/12/2018,,,23.0,,0.0
02/12/2019,1.0,16.0,42.0,8.0,2.0
02/12/2020,1.0,21.0,40.0,26.0,0.0
02/12/2021,1.0,18.0,49.0,27.0,2.0
02/12/2022,0.0,,38.0,10.0,2.0
03/01/2015,1.0,38.0,74.0,,0.0
03/01/2016,0.0,15.0,37.0,8.0,2.0
03/01/2018,0.0,,31.0,,0.0
03/01/2019,1.0,25.0,32.0,27.0,4.0
03/01/2020,0.0,15.0,21.0,12.0,2.0
03/01/2021,1.0,6.0,47.0,10.0,2.0
03/01/2022,0.0,5.0,18.0,,2.0
03/02/2015,0.0,25.0,50.0,,2.0
03/02/2016,,35.0,,30.0,
03/02/2017,1.0,23.0,29.0,,0.0
03/02/2018,0.0,20.0,34.0,12.0,0.0
03/02/2019,1.0,26.0,59.0,35.0,4.0
03/02/2020,0.0,14.0,27.0,11.0,0.0
03/02/2021,,21.0,56.0,27.0,4.0
03/02/2022,0.0,12.0,37.0,11.0,2.0
03/03/2015,1.0,29.0,52.0,,2.0
03/03/2016,0.0,24.0,31.0,10.0,6.0
03/03/2017,1.0,32.0,42.0,27.0,0.0
03/03/2018,1.0,24.0,49.0,12.0,2.0
03/03/2019,,33.0,27.0,38.0,8.0
03/03/2020,0.0,14.0,52.0,12.0,2.0
03/03/2021,0.0,18.0,26.0,10.0,6.0
03/03/2022,0.0,14.0,26.0,27.0,0.0
03/04/2015,0.0,17.0,44.0,,2.0
03/04/2016,1.0,33.0,62.0,37.0,0.0
03/04/2017,0.0,9.0,45.0,,0.0
03/04/2018,1.0,30.0,36.0,32.0,6.0
03/04/2020,1.0,14.0,21.0,11.0,2.0
03/04/2021,0.0,18.0,33.0,30.0,6.0
03/04/2022,0.0,8.0,24.0,34.0,0.0
03/05/2015,0.0,20.0,44.0,,2.0
03/05/2016,0.0,30.0,69.0,30.0,0.0
03/05/2017,0.0,19.0,35.0,,0.0
03/05/2018,1.0,40.0,61.0,49.0,10.0
03/05/2019,1.0,,30.0,,4.0
03/05/2020,1.0,31.0,,,2.0
03/05/2021,0.0,,32.0,,2.0
03/05/2022,0.0,26.0,30.0,40.0,2.0
03/06/2015,0.0,18.0,19.0,,2.0
03/06/2016,1.0,,11.0,29.0,2.0
03/06/2017,1.0,43.0,59.0,52.0,0.0
03/06/2018,1.0,53.0,47.0,64.0,0.0
03/06/2019,1.0,42.0,38.0,35.0,0.0
03/06/2020,1.0,,47.0,,0.0
03/06/2021,0.0,,50.0,47.0,2.0
03/06/2022,1.0,42.0,49.0,72.0,2.0
03/07/2016,0.0,37.0,44.0,29.0,2.0
03/07/2017,0.0,19.0,40.0,27.0,22.0
03/07/2018,1.0,,,,18.0
03/07/2019,1.0,54.0,38.0,60.0,4.0
03/07/2020,1.0,,39.0,,6.0
03/07/2021,1.0,43.0,66.0,57.0,6.0
03/07/2022,0.0,14.0,34.0,37.0,6.0
03/08/2015,1.0,58.0,48.0,,4.0
03/08/2016,1.0,60.0,52.0,43.0,4.0
03/08/2017,1.0,48.0,61.0,,4.0
03/08/2018,1.0,28.0,32.0,29.0,8.0
03/08/2019,1.0,43.0,50.0,44.0,4.0
03/08/2020,1.0,30.0,51.0,30.0,0.0
03/08/2021,0.0,43.0,74.0,37.0,10.0
03/08/2022,0.0,29.0,60.0,49.0,2.0
03/09/2015,1.0,51.0,66.0,,2.0
03/09/2016,0.0,30.0,50.0,10.0,0.0
03/09/2017,0.0,34.0,50.0,37.0,2.0
03/09/2018,1.0,34.0,34.0,30.0,8.0
03/09/2019,0.0,37.0,56.0,40.0,2.0
03/09/2020,0.0,18.0,52.0,8.0,2.0
03/09/2021,0.0,13.0,66.0,8.0,0.0
03/09/2022,0.0,29.0,61.0,38.0,2.0
03/10/2016,,22.0,,7.0,
03/10/2017,0.0,20.0,66.0,10.0,0.0
03/10/2018,0.0,32.0,66.0,35.0,2.0
03/10/2019,0.0,31.0,46.0,32.0,8.0
03/10/2020,1.0,43.0,63.0,63.0,0.0
03/10/2021,1.0,21.0,57.0,49.0,2.0
03/10/2022,1.0,18.0,41.0,12.0,8.0
03/11/2015,0.0,28.0,59.0,,4.0
03/11/2016,0.0,20.0,58.0,10.0,0.0
03/11/2017,0.0,17.0,61.0,8.0,4.0
03/11/2018,1.0,24.0,36.0,27.0,0.0
03/11/2019,0.0,,50.0,,2.0
03/11/2020,0.0,13.0,,8.0,0.0
03/11/2021,1.0,,38.0,34.0,4.0
03/11/2022,0.0,5.0,20.0,5.0,2.0
03/12/2015,1.0,,59.0,,4.0
03/12/2016,1.0,22.0,49.0,8.0,0.0
03/12/2017,0.0,9.0,64.0,,0.0
03/12/2018,1.0,22.0,24.0,,0.0
03/12/2019,1.0,14.0,22.0,7.0,0.0
03/12/2020,0.0,23.0,35.0,26.0,6.0
03/12/2021,0.0,16.0,30.0,9.0,0.0
03/12/2022,0.0,,22.0,9.0,2.0
04/01/2015,1.0,22.0,69.0,,0.0
04/01/2016,0.0,16.0,18.0,8.0,0.0
04/01/2018,0.0,,31.0,,0.0
04/01/2019,1.0,19.0,36.0,10.0,4.0
04/01/2020,0.0,10.0,18.0,10.0,
04/01/2021,1.0,6.0,43.0,10.0,0.0
04/01/2022,0.0,11.0,18.0,,0.0
04/02/2015,0.0,27.0,54.0,,0.0
04/02/2016,0.0,27.0,47.0,11.0,2.0
04/02/2017,1.0,30.0,40.0,9.0,2.0
04/02/2018,0.0,,30.0,,0.0
04/02/2019,1.0,,39.0,,6.0
04/02/2020,0.0,20.0,26.0,26.0,12.0
04/02/2021,0.0,22.0,38.0,26.0,4.0
04/02/2022,0.0,13.0,37.0,10.0,4.0
04/03/2015,1.0,30.0,48.0,,2.0
04/03/2016,0.0,24.0,30.0,12.0,6.0
04/03/2017,1.0,26.0,50.0,12.0,0.0
04/03/2018,0.0,22.0,45.0,11.0,0.0
04/03/2019,1.0,,35.0,,6.0
04/03/2020,0.0,14.0,54.0,12.0,6.0
04/03/2021,0.0,22.0,32.0,10.0,2.0
04/03/2022,0.0,14.0,32.0,29.0,4.0
04/04/2015,0.0,18.0,45.0,,0.0
04/04/2016,1.0,30.0,62.0,,0.0
04/04/2017,0.0,7.0,39.0,,0.0
04/04/2018,1.0,26.0,45.0,30.0,8.0
04/04/2020,1.0,22.0,30.0,35.0,4.0
04/04/2021,0.0,14.0,34.0,30.0,2.0
04/04/2022,0.0,14.0,22.0,35.0,2.0
04/05/2015,0.0,31.0,30.0,,2.0
04/05/2016,1.0,37.0,61.0,47.0,0.0
04/05/2017,0.0,21.0,48.0,,0.0
04/05/2018,0.0,37.0,74.0,46.0,10.0
04/05/2019,1.0,28.0,27.0,38.0,2.0
04/05/2020,1.0,,,,0.0
04/05/2021,,,32.0,35.0,0.0
04/05/2022,0.0,28.0,21.0,,0.0
04/06/2015,0.0,18.0,42.0,,4.0
04/06/2016,1.0,,22.0,35.0,0.0
04/06/2017,0.0,17.0,55.0,,2.0
04/06/2018,0.0,31.0,33.0,35.0,2.0
04/06/2019,0.0,16.0,38.0,10.0,0.0
04/06/2020,1.0,27.0,43.0,,4.0
04/06/2021,0.0,,40.0,47.0,2.0
04/06/2022,1.0,25.0,38.0,38.0,0.0
04/07/2016,0.0,42.0,34.0,26.0,2.0
04/07/2017,0.0,31.0,41.0,29.0,10.0
04/07/2018,1.0,,50.0,,18.0
04/07/2019,1.0,49.0,42.0,53.0,8.0
04/07/2020,1.0,,38.0,,4.0
04/07/2021,1.0,33.0,56.0,49.0,4.0
04/07/2022,0.0,16.0,19.0,32.0,0.0
04/08/2015,1.0,68.0,68.0,,8.0
04/08/2016,0.0,49.0,50.0,35.0,6.0
04/08/2017,1.0,50.0,74.0,47.0,0.0
04/08/2018,1.0,28.0,23.0,34.0,10.0
