DT_INTER,NUMBER_INT
20120101,2
20120102,1
20120103,1
20120104,3
20120105,1
20120106,5
20120107,4
20120108,1
20120109,5
20120110,8
20120111,8
20120112,6
20120113,7
20120114,2
20120115,2
20120116,4
20120117,7
20120118,11
20120119,4
20120120,8
20120121,3
20120122,4
20120123,6
20120124,5
20120125,6
20120127,11
20120128,1
20120129,1
20120130,11
20120131,6
20120201,2
20120202,3
20120203,5
20120204,3
20120205,1
20120206,4
20120207,5
20120208,1
20120209,8
20120210,6
20120211,1
20120212,2
20120213,7
20120214,9
20120215,4
20120216,7
20120217,1
20120218,2
20120219,1
20120220,3
20120221,3
20120222,5
20120223,3
20120224,6
20120225,1
20120226,3
20120227,8
20120228,5
20120229,7
20120301,2
20120302,9
20120303,5
20120304,1
20120305,5
20120306,11
20120307,8
20120308,1
20120309,3
20120311,1
20120312,12
20120313,9
20120314,9
20120315,3
20120316,5
20120317,2
20120318,1
20120319,9
20120320,5
20120321,9
20120322,8
20120323,10
20120324,1
20120325,2
20120326,6
20120327,4
20120328,8
20120329,7
20120330,3
20120331,4
20120401,1
20120402,5
20120403,4
20120404,7
20120405,4
20120406,3
20120407,1
20120408,2
20120409,11
20120410,11
20120411,7
20120412,2
20120413,8
20120414,3
20120415,4
20120416,7
20120417,2
20120418,7
20120419,10
20120420,6
20120421,2
20120422,2
20120423,5
20120424,4
20120425,6
20120426,4
20120427,10
20120428,4
20120429,1
20120430,2
20120501,2
20120502,15
20120503,6
20120504,10
20120505,2
20120507,10
20120508,7
20120509,2
20120510,3
20120511,7
20120512,3
20120513,2
20120514,6
20120515,6
20120516,6
20120517,7
20120518,6
20120519,3
20120520,1
20120521,7
20120522,9
20120523,3
20120524,7
20120525,3
20120526,2
20120527,2
20120528,8
20120529,4
20120530,11
20120531,2
20120601,4
20120604,6
20120605,5
20120606,5
20120607,2
20120608,1
20120609,3
20120611,10
20120612,4
20120613,8
20120614,4
20120615,8
20120616,4
20120617,1
20120618,10
20120619,6
20120620,6
20120621,6
20120622,5
20120623,2
20120624,2
20120625,5
20120626,2
20120627,3
20120628,1
20120629,4
20120630,2
20120701,1
20120702,5
20120703,4
20120704,8
20120705,6
20120706,2
20120707,2
20120708,3
20120709,10
20120710,3
20120711,6
20120712,6
