Date,DayOfWeek,DayOfWeekNum,IsWeekend,temp_max,temp_min,humidity_max,humidity_min,NUMBER_INT,EST1_CO,EST1_MP10,EST1_03,EST1_MP2.5,EST1_SO2
2015-01-01,Thu,3,0,33.9,20.6,89.0,32.0,2.0,,24.0,56.0,,0.0
2015-01-02,Fri,4,0,32.9,21.0,87.0,38.0,2.0,,29.0,55.0,,2.0
2015-01-03,Sat,5,1,33.5,20.2,83.0,38.0,2.0,1.0,38.0,74.0,,0.0
2015-01-04,Sun,6,1,30.6,22.2,81.0,43.0,1.0,1.0,22.0,69.0,,0.0
2015-01-05,Mon,0,0,30.8,20.8,79.0,36.0,4.0,0.0,19.0,54.0,,0.0
2015-01-06,Tue,1,0,29.5,20.5,79.0,41.0,3.0,0.0,22.0,66.0,,0.0
2015-01-07,Wed,2,0,28.0,19.9,78.0,44.0,3.0,0.0,20.0,41.0,,0.0
2015-01-08,Thu,3,0,30.4,19.7,74.0,30.0,3.0,0.0,21.0,61.0,,2.0
2015-01-09,Fri,4,0,30.5,19.6,68.0,28.0,2.0,0.0,25.0,63.0,,4.0
2015-01-10,Sat,5,1,32.6,20.6,73.0,33.0,0.0,0.0,34.0,71.0,,4.0
2015-01-11,Sun,6,1,32.6,20.1,66.0,22.0,2.0,0.0,22.0,68.0,,2.0
2015-01-12,Mon,0,0,33.3,19.7,64.0,23.0,7.0,0.0,33.0,42.0,,4.0
2015-01-13,Tue,1,0,33.9,21.4,67.0,27.0,5.0,0.0,36.0,67.0,,6.0
2015-01-14,Wed,2,0,32.5,21.8,61.0,32.0,4.0,0.0,30.0,75.0,,2.0
2015-01-15,Thu,3,0,30.1,20.1,67.0,33.0,3.0,0.0,31.0,55.0,,2.0
2015-01-16,Fri,4,0,32.4,20.9,65.0,29.0,6.0,0.0,38.0,74.0,,4.0
2015-01-17,Sat,5,1,32.1,20.4,62.0,27.0,0.0,0.0,26.0,75.0,,4.0
2015-01-18,Sun,6,1,32.9,18.5,72.0,23.0,1.0,0.0,28.0,65.0,,4.0
2015-01-19,Mon,0,0,32.6,21.2,61.0,29.0,11.0,0.0,37.0,70.0,,6.0
