Estado,Município,Estação ,Ano de Data,Mês de Data,Dia de Data,Data,IQAR,NumeroIQAR,Poluente,Tipo de cálculo,Tipo de monitoramento
MG,Belo Horizonte,Centro - Av. do Contorno,2021,dezembro,8,08/12/2021,DQA (Recomendação OMS),2,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2020,agosto,22,22/08/2020,DQA (Recomendação OMS),2,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,outubro,12,12/10/2021,DQA (Recomendação OMS),2,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,12,12/11/2021,DQA (Recomendação OMS),3,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,15,15/11/2021,DQA (Recomendação OMS),3,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,21,21/11/2021,DQA (Recomendação OMS),3,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,outubro,11,11/10/2021,DQA (Recomendação OMS),4,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,outubro,20,20/10/2021,DQA (Recomendação OMS),4,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,14,14/11/2021,DQA (Recomendação OMS),4,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2020,agosto,23,23/08/2020,DQA (Recomendação OMS),5,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,outubro,10,10/10/2021,DQA (Recomendação OMS),5,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,13,13/11/2021,DQA (Recomendação OMS),5,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2020,novembro,22,22/11/2020,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,outubro,21,21/10/2021,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,11,11/11/2021,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,dezembro,5,05/12/2021,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2015,março,26,26/03/2015,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,outubro,31,31/10/2021,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,novembro,22,22/11/2021,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,dezembro,4,04/12/2021,DQA (Recomendação OMS),6,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2015,março,24,24/03/2015,DQA (Recomendação OMS),7,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2020,junho,16,16/06/2020,DQA (Recomendação OMS),7,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2020,novembro,1,01/11/2020,DQA (Recomendação OMS),7,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2021,agosto,8,08/08/2021,DQA (Recomendação OMS),7,MP10,Média aritmética de 24h,Automática
MG,Belo Horizonte,Centro - Av. do Contorno,2015,março,25,25/03/2015,DQA (Recomendação OMS),8,MP10,Média aritmética de 24h,Automática
