"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2015";"0000";"18,5";"19,0";"18,4";"71,0";"71,0";"69,0";"13,1";"13,2";"13,1";"923,0";"923,1";"922,8";"1,9";"110,0";"4,5";"";"0,0"
"01/07/2015";"0100";"18,3";"18,6";"18,3";"71,0";"71,0";"70,0";"13,0";"13,1";"13,0";"923,3";"923,3";"923,0";"1,9";"92,0";"5,1";"";"0,0"
"01/07/2015";"0200";"17,9";"18,4";"17,8";"74,0";"74,0";"71,0";"13,3";"13,3";"13,0";"923,3";"923,4";"923,2";"2,5";"91,0";"5,6";"";"0,0"
"01/07/2015";"0300";"17,6";"18,1";"17,5";"78,0";"78,0";"74,0";"13,7";"13,7";"13,3";"923,2";"923,4";"923,1";"1,6";"91,0";"5,6";"";"0,0"
"01/07/2015";"0400";"17,0";"17,6";"16,6";"81,0";"83,0";"78,0";"13,7";"13,9";"13,2";"922,9";"923,2";"922,9";"1,4";"95,0";"3,6";"";"0,0"
"01/07/2015";"0500";"15,7";"17,0";"15,7";"86,0";"86,0";"81,0";"13,3";"13,8";"13,2";"922,5";"922,9";"922,4";"1,1";"47,0";"3,1";"";"0,0"
"01/07/2015";"0600";"16,5";"16,8";"15,6";"83,0";"87,0";"82,0";"13,6";"14,0";"13,3";"922,3";"922,5";"922,0";"1,4";"85,0";"4,1";"";"0,0"
"01/07/2015";"0700";"16,2";"16,7";"16,2";"84,0";"84,0";"82,0";"13,5";"13,7";"13,4";"922,2";"922,3";"922,1";"0,8";"115,0";"3,0";"";"0,0"
"01/07/2015";"0800";"15,7";"16,2";"15,4";"86,0";"87,0";"84,0";"13,3";"13,5";"13,1";"922,6";"922,6";"922,2";"0,5";"122,0";"1,5";"";"0,0"
"01/07/2015";"0900";"15,4";"16,0";"15,2";"87,0";"87,0";"83,0";"13,2";"13,5";"12,9";"922,9";"922,9";"922,5";"0,7";"59,0";"2,6";"";"0,0"
"01/07/2015";"1000";"16,8";"16,8";"15,4";"81,0";"87,0";"81,0";"13,5";"13,6";"13,3";"923,6";"923,6";"922,9";"2,1";"91,0";"5,7";"23,00";"0,0"
"01/07/2015";"1100";"18,0";"18,0";"16,5";"76,0";"82,0";"76,0";"13,7";"13,7";"13,4";"924,0";"924,0";"923,6";"2,7";"98,0";"7,0";"426,70";"0,0"
"01/07/2015";"1200";"19,7";"20,4";"18,0";"68,0";"76,0";"66,0";"13,7";"14,5";"13,5";"924,8";"924,8";"924,0";"2,5";"89,0";"5,9";"1233,60";"0,0"
"01/07/2015";"1300";"21,8";"21,8";"19,7";"61,0";"69,0";"61,0";"14,0";"14,8";"13,4";"924,8";"924,8";"924,7";"2,4";"79,0";"6,4";"1712,60";"0,0"
"01/07/2015";"1400";"23,8";"23,8";"20,9";"55,0";"64,0";"54,0";"14,3";"14,5";"13,3";"924,3";"924,8";"924,3";"2,2";"51,0";"5,2";"2314,10";"0,0"
"01/07/2015";"1500";"24,1";"25,0";"22,3";"50,0";"59,0";"49,0";"12,9";"14,9";"12,9";"923,5";"924,3";"923,5";"1,8";"42,0";"5,3";"2411,70";"0,0"
"01/07/2015";"1600";"25,0";"25,7";"24,0";"50,0";"52,0";"47,0";"13,9";"14,3";"12,6";"922,7";"923,6";"922,7";"1,3";"8,0";"4,9";"2358,50";"0,0"
"01/07/2015";"1700";"25,6";"26,4";"23,7";"44,0";"55,0";"44,0";"12,6";"14,6";"12,5";"921,7";"922,7";"921,7";"1,6";"329,0";"4,6";"1774,10";"0,0"
"01/07/2015";"1800";"24,4";"26,2";"24,4";"47,0";"50,0";"41,0";"12,5";"13,7";"11,6";"921,2";"921,7";"921,2";"1,1";"301,0";"3,9";"1442,70";"0,0"
"01/07/2015";"1900";"24,5";"25,0";"23,8";"50,0";"52,0";"45,0";"13,5";"13,8";"11,8";"921,1";"921,2";"921,0";"1,4";"25,0";"2,6";"670,40";"0,0"
"01/07/2015";"2000";"22,1";"24,5";"22,1";"60,0";"60,0";"50,0";"13,9";"14,1";"13,4";"921,5";"921,5";"921,1";"2,3";"87,0";"5,4";"234,60";"0,0"
"01/07/2015";"2100";"20,0";"22,1";"20,0";"68,0";"68,0";"60,0";"14,0";"14,0";"13,9";"921,9";"921,9";"921,4";"2,4";"88,0";"5,9";"21,50";"0,0"
"01/07/2015";"2200";"18,9";"20,0";"18,9";"72,0";"72,0";"68,0";"13,7";"14,0";"13,7";"922,3";"922,3";"921,9";"1,9";"102,0";"6,4";"";"0,0"
"01/07/2015";"2300";"18,4";"19,0";"18,4";"74,0";"74,0";"71,0";"13,6";"13,8";"13,6";"922,7";"922,7";"922,2";"2,5";"103,0";"5,4";"";"0,0"
"02/07/2015";"0000";"18,2";"18,4";"18,2";"74,0";"75,0";"73,0";"13,5";"13,7";"13,5";"922,8";"922,9";"922,7";"2,4";"96,0";"6,1";"";"0,0"
"02/07/2015";"0100";"18,0";"18,4";"18,0";"74,0";"74,0";"73,0";"13,3";"13,6";"13,3";"923,1";"923,1";"922,8";"1,6";"103,0";"4,8";"";"0,0"
"02/07/2015";"0200";"18,1";"18,2";"17,9";"73,0";"74,0";"73,0";"13,3";"13,4";"13,2";"923,1";"923,1";"923,0";"1,7";"106,0";"4,9";"";"0,0"
"02/07/2015";"0300";"18,0";"18,2";"17,9";"75,0";"75,0";"73,0";"13,4";"13,5";"13,3";"922,7";"923,1";"922,7";"2,0";"103,0";"4,3";"";"0,0"
"02/07/2015";"0400";"17,7";"18,0";"17,6";"77,0";"77,0";"75,0";"13,6";"13,6";"13,4";"922,4";"922,7";"922,4";"2,0";"104,0";"5,1";"";"0,0"
"02/07/2015";"0500";"17,7";"17,9";"17,6";"77,0";"78,0";"76,0";"13,7";"13,7";"13,5";"922,3";"922,4";"922,3";"0,8";"80,0";"4,4";"";"0,0"
"02/07/2015";"0600";"17,5";"17,8";"17,5";"78,0";"78,0";"77,0";"13,6";"13,7";"13,5";"921,9";"922,3";"921,9";"1,0";"131,0";"2,6";"";"0,0"
"02/07/2015";"0700";"17,0";"17,8";"16,4";"81,0";"82,0";"77,0";"13,7";"13,7";"12,9";"921,5";"921,9";"921,4";"0,6";"131,0";"2,6";"";"0,0"
"02/07/2015";"0800";"17,5";"17,5";"16,6";"77,0";"82,0";"77,0";"13,5";"13,7";"13,4";"921,5";"921,7";"921,5";"1,1";"112,0";"2,3";"";"0,0"
"02/07/2015";"0900";"17,2";"17,6";"17,1";"78,0";"78,0";"76,0";"13,2";"13,5";"13,1";"921,8";"921,8";"921,4";"1,6";"123,0";"3,8";"";"0,0"
"02/07/2015";"1000";"17,5";"17,5";"17,2";"77,0";"78,0";"77,0";"13,4";"13,4";"13,2";"922,1";"922,1";"921,8";"1,8";"116,0";"3,7";"12,20";"0,0"
"02/07/2015";"1100";"18,7";"18,7";"17,5";"73,0";"77,0";"72,0";"13,7";"13,8";"13,4";"922,8";"922,8";"922,1";"2,3";"96,0";"4,8";"328,80";"0,0"
"02/07/2015";"1200";"19,6";"20,5";"18,7";"69,0";"73,0";"66,0";"13,8";"14,4";"13,4";"923,3";"923,3";"922,8";"2,4";"108,0";"7,5";"743,90";"0,0"
"02/07/2015";"1300";"22,3";"22,4";"19,6";"61,0";"69,0";"60,0";"14,4";"14,8";"13,7";"923,2";"923,5";"923,2";"3,2";"86,0";"7,1";"1382,00";"0,0"
"02/07/2015";"1400";"22,9";"23,3";"22,0";"58,0";"61,0";"57,0";"14,1";"14,7";"13,7";"923,0";"923,2";"923,0";"2,5";"90,0";"6,5";"2013,00";"0,0"
"02/07/2015";"1500";"23,0";"24,0";"22,6";"57,0";"59,0";"55,0";"14,0";"14,8";"13,7";"922,4";"923,1";"922,3";"3,2";"102,0";"6,3";"2137,30";"0,0"
"02/07/2015";"1600";"22,5";"23,7";"22,1";"60,0";"60,0";"55,0";"14,2";"14,4";"13,3";"921,5";"922,5";"921,5";"2,7";"97,0";"6,4";"1765,90";"0,0"
"02/07/2015";"1700";"23,1";"24,1";"22,3";"55,0";"60,0";"52,0";"13,4";"14,4";"13,2";"920,7";"921,5";"920,7";"2,7";"95,0";"6,1";"1919,90";"0,0"
"02/07/2015";"1800";"21,8";"23,2";"21,8";"59,0";"60,0";"53,0";"13,6";"13,9";"12,5";"920,1";"920,8";"920,1";"3,4";"88,0";"6,9";"1191,10";"0,0"
"02/07/2015";"1900";"21,0";"22,4";"21,0";"61,0";"61,0";"57,0";"13,1";"13,9";"12,9";"920,2";"920,3";"920,1";"2,9";"103,0";"7,0";"921,20";"0,0"
"02/07/2015";"2000";"20,6";"21,0";"20,5";"63,0";"63,0";"60,0";"13,4";"13,4";"12,9";"920,2";"920,3";"920,1";"3,4";"96,0";"6,9";"366,40";"0,0"
"02/07/2015";"2100";"19,4";"20,6";"19,4";"70,0";"70,0";"63,0";"13,8";"13,9";"13,3";"920,4";"920,4";"920,2";"3,1";"78,0";"6,8";"71,20";"0,0"
"02/07/2015";"2200";"18,7";"19,4";"18,6";"74,0";"74,0";"70,0";"14,0";"14,1";"13,8";"920,7";"920,7";"920,4";"2,8";"88,0";"6,6";"";"0,0"
"02/07/2015";"2300";"18,1";"18,7";"18,1";"74,0";"75,0";"74,0";"13,5";"14,0";"13,5";"920,6";"920,7";"920,5";"2,8";"96,0";"6,6";"";"0,0"
"03/07/2015";"0000";"17,9";"18,2";"17,8";"76,0";"76,0";"74,0";"13,6";"13,6";"13,5";"921,0";"921,1";"920,6";"2,7";"111,0";"5,6";"";"0,0"
"03/07/2015";"0100";"17,7";"18,1";"17,7";"77,0";"77,0";"75,0";"13,7";"13,8";"13,6";"921,2";"921,2";"921,0";"2,0";"90,0";"6,0";"";"0,0"
"03/07/2015";"0200";"17,1";"17,8";"17,1";"80,0";"80,0";"77,0";"13,6";"13,8";"13,6";"921,1";"921,3";"921,0";"1,7";"88,0";"4,6";"";"0,0"
"03/07/2015";"0300";"17,1";"17,4";"16,9";"81,0";"81,0";"79,0";"13,7";"13,8";"13,5";"920,7";"921,1";"920,7";"1,8";"92,0";"4,7";"";"0,0"
"03/07/2015";"0400";"17,0";"17,2";"16,9";"81,0";"81,0";"80,0";"13,6";"13,8";"13,5";"920,5";"920,9";"920,5";"1,8";"97,0";"4,4";"";"0,0"
"03/07/2015";"0500";"16,9";"17,1";"16,8";"79,0";"81,0";"78,0";"13,2";"13,6";"13,1";"920,0";"920,5";"920,0";"1,9";"99,0";"5,2";"";"0,0"
"03/07/2015";"0600";"16,5";"16,9";"16,5";"81,0";"81,0";"79,0";"13,2";"13,3";"13,1";"919,8";"920,0";"919,7";"2,0";"98,0";"4,9";"";"0,0"
"03/07/2015";"0700";"16,3";"16,7";"16,3";"82,0";"82,0";"80,0";"13,2";"13,3";"13,2";"919,6";"919,8";"919,5";"2,4";"107,0";"5,9";"";"0,0"
