"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2015";"0000";"26,4";"28,0";"26,4";"59,0";"60,0";"51,0";"17,9";"18,1";"17,0";"918,0";"918,0";"917,3";"1,6";"79,0";"4,7";"";"0,0"
"01/01/2015";"0100";"26,1";"26,5";"25,9";"61,0";"61,0";"59,0";"17,9";"18,0";"17,5";"918,9";"918,9";"918,0";"2,3";"78,0";"5,1";"";"0,0"
"01/01/2015";"0200";"25,8";"26,5";"25,8";"59,0";"61,0";"57,0";"17,1";"18,0";"17,0";"919,1";"919,1";"918,9";"2,6";"94,0";"7,1";"";"0,0"
"01/01/2015";"0300";"25,6";"25,8";"25,4";"61,0";"62,0";"59,0";"17,5";"17,8";"17,1";"918,5";"919,2";"918,5";"2,6";"119,0";"6,2";"";"0,0"
"01/01/2015";"0400";"24,7";"25,6";"24,7";"65,0";"65,0";"61,0";"17,8";"17,9";"17,5";"918,0";"918,5";"918,0";"0,9";"74,0";"4,6";"";"0,0"
"01/01/2015";"0500";"24,2";"25,0";"24,2";"67,0";"67,0";"64,0";"17,6";"18,0";"17,5";"917,7";"918,0";"917,7";"2,5";"82,0";"5,9";"";"0,0"
"01/01/2015";"0600";"23,3";"24,2";"23,2";"70,0";"72,0";"67,0";"17,6";"17,9";"17,6";"917,5";"917,7";"917,5";"3,1";"83,0";"6,8";"";"0,0"
"01/01/2015";"0700";"22,9";"23,3";"22,9";"70,0";"71,0";"70,0";"17,2";"17,6";"17,2";"917,8";"917,8";"917,5";"2,4";"91,0";"5,8";"";"0,0"
"01/01/2015";"0800";"22,8";"23,0";"22,7";"71,0";"71,0";"70,0";"17,3";"17,3";"17,2";"918,3";"918,3";"917,8";"1,8";"97,0";"4,7";"";"0,0"
"01/01/2015";"0900";"23,4";"23,4";"22,6";"70,0";"73,0";"70,0";"17,6";"17,7";"17,3";"918,7";"918,7";"918,2";"1,8";"92,0";"4,1";"60,70";"0,0"
"01/01/2015";"1000";"25,0";"25,0";"23,4";"65,0";"70,0";"64,0";"17,9";"18,0";"17,4";"918,9";"918,9";"918,6";"2,1";"109,0";"5,3";"638,10";"0,0"
"01/01/2015";"1100";"26,5";"27,0";"25,0";"59,0";"65,0";"57,0";"17,9";"18,4";"17,4";"919,2";"919,3";"918,9";"2,1";"93,0";"4,9";"1484,20";"0,0"
"01/01/2015";"1200";"27,6";"27,6";"26,5";"56,0";"61,0";"54,0";"18,0";"18,7";"17,1";"919,2";"919,4";"919,2";"1,8";"53,0";"5,0";"2308,00";"0,0"
"01/01/2015";"1300";"28,7";"29,3";"27,7";"52,0";"59,0";"50,0";"18,0";"19,1";"17,2";"919,1";"919,3";"919,1";"1,9";"325,0";"4,9";"3002,00";"0,0"
"01/01/2015";"1400";"30,5";"30,7";"28,5";"45,0";"56,0";"44,0";"17,0";"19,4";"16,8";"918,6";"919,1";"918,6";"2,1";"327,0";"5,3";"3539,20";"0,0"
"01/01/2015";"1500";"31,3";"31,9";"30,4";"44,0";"48,0";"41,0";"17,5";"19,1";"16,2";"917,9";"918,6";"917,9";"1,1";"4,0";"5,3";"3585,40";"0,0"
