"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2017";"0000";"18,6";"19,2";"18,2";"49,0";"51,0";"47,0";"7,7";"8,1";"7,5";"924,3";"924,3";"924,0";"1,6";"119,0";"2,6";"";"0,0"
"01/07/2017";"0100";"18,2";"18,6";"17,9";"48,0";"51,0";"47,0";"6,9";"7,7";"6,9";"924,6";"924,6";"924,3";"1,6";"116,0";"3,3";"";"0,0"
"01/07/2017";"0200";"15,7";"18,5";"15,6";"61,0";"61,0";"47,0";"8,3";"8,3";"6,9";"924,7";"924,8";"924,6";"0,4";"8,0";"2,8";"";"0,0"
"01/07/2017";"0300";"14,4";"15,8";"14,4";"70,0";"70,0";"61,0";"9,0";"9,1";"8,3";"924,6";"924,8";"924,6";"0,8";"316,0";"1,5";"";"0,0"
"01/07/2017";"0400";"14,1";"14,8";"13,7";"73,0";"74,0";"70,0";"9,2";"9,7";"8,8";"924,5";"924,7";"924,5";"0,0";"10,0";"1,5";"";"0,0"
"01/07/2017";"0500";"13,8";"14,4";"13,8";"73,0";"74,0";"72,0";"9,2";"9,6";"9,1";"924,2";"924,5";"924,2";"0,0";"44,0";"0,7";"";"0,0"
"01/07/2017";"0600";"13,0";"14,2";"13,0";"75,0";"76,0";"73,0";"8,6";"9,7";"8,6";"923,7";"924,2";"923,7";"0,4";"150,0";"1,0";"";"0,0"
"01/07/2017";"0700";"13,3";"13,6";"12,3";"76,0";"79,0";"75,0";"9,2";"9,5";"8,5";"923,6";"923,7";"923,6";"0,2";"172,0";"1,0";"";"0,0"
"01/07/2017";"0800";"12,5";"13,4";"12,4";"80,0";"80,0";"76,0";"9,1";"9,4";"8,9";"923,7";"923,7";"923,6";"0,0";"38,0";"0,8";"";"0,0"
"01/07/2017";"0900";"12,1";"12,8";"11,9";"82,0";"83,0";"80,0";"9,2";"9,5";"8,9";"923,8";"923,8";"923,7";"0,0";"7,0";"0,8";"";"0,0"
