id_municipio,id_municipio_nome,id_estacao,estacao
5300108,Brasília,A001,Brasilia
5300108,Brasília,A042,Brazlandia
5300108,Brasília,A045,Aguas Emendadas
5300108,Brasília,A046,Gama (Ponte Alta)
5300108,Brasília,A047,Paranoa (Coopa-Df)
5208707,Goiânia,A002,Goiania
5213806,Morrinhos,A003,Morrinhos
5218003,Porangatu,A005,Porangatu
5220405,São Simão,A011,Sao Simao
5212501,Luziânia,A012,Luziania
5201702,Aragarças,A013,Aragarcas
5208905,Goiás,A014,Goias
5210901,Itapaci,A015,Itapaci
5211909,Jataí,A016,Jatai
5218300,Posse,A017,Posse
5208608,Goianésia,A022,Goianesia
5204409,Caiapônia,A023,Caiaponia
5200605,Alto Paraíso de Goiás,A024,Alto Paraiso De Goias
5218805,Rio Verde,A025,Rio Verde
5213103,Mineiros,A026,Mineiros
5216403,Paraúna,A027,Parauna
5210208,Iporá,A028,Ipora
5207402,Edéia,A029,Edeia
5220207,São Miguel do Araguaia,A031,Sao Miguel Do Araguaia
5213509,Monte Alegre de Goiás,A032,Monte Alegre De Goias
5217401,Pires do Rio,A033,Pires Do Rio
5205109,Catalão,A034,Catalao
5211503,Itumbiara,A035,Itumbiara
5206206,Cristalina,A036,Cristalina
5220603,Silvânia,A037,Silvania
5206206,Cristalina,A056,Cristalina (Fazenda Santa Monica)
5002704,Campo Grande,A702,Campo Grande
5006606,Ponta Porã,A703,Ponta Pora
5008305,Três Lagoas,A704,Tres Lagoas
5004700,Ivinhema,A709,Ivinhema
5006309,Paranaíba,A710,Paranaiba
5003207,Corumbá,A717,Nhumirim
5001102,Aquidauana,A719,Aquidauana
5003306,Coxim,A720,Coxim
5004502,Itaporã,A721,Dourados
5002159,Bodoquena,A722,Miranda
5006903,Porto Murtinho,A723,Porto Murtinho
5003207,Corumbá,A724,Corumba
5002951,Chapadão do Sul,A730,Chapadao Do Sul
5005400,Maracaju,A731,Maracaju
5007695,São Gabriel do Oeste,A732,Sao Gabriel Do Oeste
5002902,Cassilândia,A742,Cassilandia
5007208,Rio Brilhante,A743,Rio Brilhante
5005152,Juti,A749,Juti
5000609,Amambai,A750,Amambai
5007703,Sete Quedas,A751,Sete Quedas
5004601,Itaquiraí,A752,Itaquirai
5007901,Sidrolândia,A754,Sidrolandia
5000203,Água Clara,A756,Agua Clara
5002100,Bela Vista,A757,Bela Vista
5005004,Jardim,A758,Jardim
5001904,Bataguassu,A759,Bataguassu
5003256,Costa Rica,A760,Costa Rica
5007935,Sonora,A761,Sonora
5000856,Angélica,S701,Angelica
5001243,Aral Moreira,S702,Aral Moreira
5001508,Bandeirantes,S703,Bandeirantes
5002209,Bonito,S704,Bonito
5002308,Brasilândia,S705,Brasilandia
5002407,Caarapó,S706,Caarapo
5002605,Camapuã,S707,Camapua
5003801,Fátima do Sul,S708,Fatima Do Sul
5004304,Iguatemi,S709,Iguatemi
5004502,Itaporã,S710,Itapora
5005251,Laguna Carapã,S711,Laguna Carapa
5006002,Nova Alvorada do Sul,S712,Nova Alvorada Do Sul
5006200,Nova Andradina,S713,Nova Andradina
5006408,Pedro Gomes,S714,Pedro Gomes
5007109,Ribas do Rio Pardo,S715,Ribas Do Rio Pardo
5007554,Santa Rita do Pardo,S716,Santa Rita Do Pardo
5007802,Selvíria,S717,Selviria
5103403,Cuiabá,A901,Cuiaba
5107958,Tangará da Serra,A902,Tangara Da Serra
5107305,São José do Rio Claro,A903,S.j. Do Rio Claro
5107925,Sorriso,A904,Sorriso
5102637,Campo Novo do Parecis,A905,Campo Novo Dos Parecis
5104104,Guarantã do Norte,A906,Guaranta Do Norte
5107602,Rondonópolis,A907,Rondonopolis
5100201,Água Boa,A908,Agua Boa
5100300,Alto Araguaia,A909,Alto Araguaia
5100805,Apiacás,A910,Apiacas
5107875,Sapezal,A911,Sapezal
5102678,Campo Verde,A912,Campo Verde
5103304,Comodoro,A913,Comodoro
5105101,Juara,A914,Juara
5106307,Paranatinga,A915,Paranatinga
5107909,Sinop,A917,Sinop
5103379,Cotriguaçu,A919,Cotriguacu
5105150,Juína,A920,Juina
5107859,São Félix do Araguaia,A921,Sao Felix  Do Araguaia
5105507,Vila Bela da Santíssima Trindade,A922,Vila Bela Da Santissima Trindade
5107040,Primavera do Leste,A923,Primavera Do Leste
5100250,Alta Floresta,A924,Alta Floresta
5102793,Carlinda,A926,Carlinda
5101902,Brasnorte,A927,Brasnorte (Novo Mundo)
5108907,Nova Maringá,A928,Nova Maringa
5106240,Nova Ubiratã,A929,Nova Ubirata
5103858,Gaúcha do Norte,A930,Gaucha Do Norte
5107792,Santo Antônio do Leste,A931,Santo Antonio Do Leste
5104203,Guiratinga,A932,Guiratinga
5104609,Itiquira,A933,Itiquira
5100607,Alto Taquari,A934,Alto Taquari
5106851,Porto Estrela,A935,Porto Estrela
5107750,Salto do Céu,A936,Salto Do Ceu
5106752,Pontes e Lacerda,A937,Pontes E Lacerda
5107354,São José do Xingu,A942,Sao Jose Do Xingu
5107883,Serra Nova Dourada,A943,Serra Nova Dourada
5107701,Rosário Oeste,A944,Rosario Oeste
2704302,Maceió,A303,Maceio
2706406,Pão de Açúcar,A323,Pao De Acucar
2706307,Palmeira dos Índios,A327,Palmeira Dos Indios
2700300,Arapiraca,A353,Arapiraca
2702306,Coruripe,A355,Coruripe
2708501,São Luís do Quitunde,A356,Sao Luis Do Quitunde
2707107,Piranhas,A371,Piranhas
2927408,Salvador,A401,Salvador
2903201,Barreiras,A402,Barreiras
2919553,Luís Eduardo Magalhães,A404,Luiz Eduardo Magalhaes
2906907,Caravelas,A405,Caravelas
2909802,Cruz das Almas,A406,Cruz Das Almas
2917607,Jaguaquara,A407,Itirucu
2914703,Itaberaba,A408,Itaberaba
2913606,Ilhéus,A410,Ilheus
2919603,Macajuba,A412,Macajuba
2910800,Feira de Santana,A413,Feira De Santana
2933307,Vitória da Conquista,A414,Vitoria Da Conquista
2928406,Santa Rita de Cássia,A415,Santa Rita De Cassia
2909307,Correntina,A416,Correntina
2903904,Bom Jesus da Lapa,A418,Bom Jesus Da Lapa
2906907,Caravelas,A422,Abrolhos
2926004,Remanso,A423,Remanso
2914604,Irecê,A424,Irece
2919306,Lençóis,A425,Lencois
2911709,Guanambi,A426,Guanambi
2925303,Porto Seguro,A427,Porto Seguro
2930105,Senhor do Bonfim,A428,Senhor Do Bonfim
2902708,Barra,A429,Barra
2924306,Piatã,A430,Piata
2908606,Conde,A431,Conde
2904753,Buritirama,A432,Buritirama
2904605,Brumado,A433,Brumado
2901007,Amargosa,A434,Amargosa
2932002,Uauá,A435,Uaua
2925808,Queimadas,A436,Queimadas
2932507,Una,A437,Una
2920700,Maraú,A438,Marau
2913200,Ibotirama,A439,Ibotirama
2917508,Jacobina,A440,Jacobina
2930501,Serrinha,A441,Serrinha
2910701,Euclides da Cunha,A442,Euclides Da Cunha
2932457,Umburanas,A443,Delfino
2932903,Valença,A444,Valenca
2913903,Ipiaú,A445,Ipiau
2916401,Itapetinga,A446,Itapetinga
2927705,Santa Cruz Cabrália,A447,Belmonte
2909901,Curaçá,A448,Curaca
2924405,Pilão Arcado,A449,Pilao Arcado
2918100,Jeremoabo,A450,Jeremoabo
2911105,Formosa do Rio Preto,A452,Formoso Do Rio Preto
2915601,Itamaraju,A455,Itamaraju
2927408,Salvador,A456,Salvador (Radio Farol)
2926509,Ribeira do Amparo,A458,Ribeira Do Amparo
2304400,Fortaleza,A305,Fortaleza
2312908,Sobral,A306,Sobral
2305100,Guaramiranga,A314,Guaramiranga
2301901,Barbalha,A315,Barbalha
2305506,Iguatu,A319,Iguatu
2313302,Tauá,A324,Taua
2311405,Quixeramobim,A325,Quixeramobim
2308708,Morada Nova,A332,Morada Nova
2307007,Jaguaruana,A339,Jaguaruana
2304103,Crateús,A342,Crateus
2302701,Campos Sales,A347,Campos Sales
2306900,Jaguaribe,A358,Jaguaribe
2306405,Itapipoca,A359,Itapipoca
2307809,Marco,A360,Acarau
2313401,Tianguá,A368,Tiangua
2311306,Quixadá,A369,Quixada
2111300,São Luís,A203,Sao Luis
2101400,Balsas,A204,Balsas
2102804,Carolina,A205,Carolina
2103208,Chapadinha,A206,Chapadinha
2104800,Grajaú,A207,Grajau
2105005,Humberto de Campos,A217,Farol De Santana
2101707,Barreirinhas,A218,Preguicas
2112407,Turiaçu,A219,Turiacu
2101202,Bacabal,A220,Bacabal
2101608,Barra do Corda,A221,Barra Do Corda
2103505,Colinas,A222,Colinas
2100501,Alto Parnaíba,A223,Alto Parnaiba
2104057,Estreito,A224,Estreito
2105302,Imperatriz,A225,Imperatriz
2103000,Caxias,A237,Caxias
2102325,Buriticupu,A238,Buriticupu
2114007,Zé Doca,A255,Ze Doca
2501104,Areia,A310,Areia
2504009,Campina Grande,A313,Campina Grande
2507507,João Pessoa,A320,Joao Pessoa
2510808,Patos,A321,Patos
2516201,Sousa,A333,Sao Goncalo
2509701,Monteiro,A334,Monteiro
2503100,Cabaceiras,A348,Cabaceiras
2508901,Mamanguape,A352,Camaratuba
2507002,Itaporanga,A373,Itaporanga
2611606,Recife,A301,Recife
2611101,Petrolina,A307,Petrolina
2601201,Arcoverde,A309,Arco Verde
2606002,Garanhuns,A322,Garanhuns
2614501,Surubim,A328,Surubim
2603009,Cabrobó,A329,Cabrobo
2604106,Caruaru,A341,Caruaru
2606606,Ibimirim,A349,Ibimirim
2613909,Serra Talhada,A350,Serra Talhada
2605707,Floresta,A351,Floresta
2610004,Palmares,A357,Palmares
2609907,Ouricuri,A366,Ouricuri
2612208,Salgueiro,A370,Salgueiro
2207702,Parnaíba,A308,Parnaiba
2203909,Floriano,A311,Floriano
2211001,Teresina,A312,Teresina
2201903,Bom Jesus,A326,Bom Jesus Do Piaui
2207801,Paulistana,A330,Paulistana
2210003,São João do Piauí,A331,Sao Joao Do Piaui
2208403,Piripiri,A335,Piripiri
2200459,Alvorada do Gurguéia,A336,Alvorada Do Gurgueia
2202505,Caracol,A337,Caracol
2208007,Picos,A343,Picos
2210607,São Raimundo Nonato,A345,Sao Raimundo Nonato
2211209,Uruçuí,A346,Urucui
2207009,Oeiras,A354,Oeiras
2202604,Castelo do Piauí,A361,Castelo Do Piaui
2211308,Valença do Piauí,A363,Valenca Do Piaui
2204402,Gilbués,A364,Gilbues
2202307,Canto do Buriti,A365,Canto Do Buriti
2202901,Corrente,A374,Corrente
2201150,Baixa Grande do Ribeiro,A375,Baixa Grande Do Ribeiro
2202208,Campo Maior,A376,Campo Maior
2200608,Angical do Piauí,A377,Angical Do Piaui
2408102,Natal,A304,Natal
2402006,Caicó,A316,Caico
2407203,Macau,A317,Macau
2411056,Tibau,A318,Mossoro
2401008,Apodi,A340,Apodi
2414407,Touros,A344,Calcanhar
2411205,Santa Cruz,A367,Santa Cruz
2404705,Ipanguaçu,A372,Ipanguacu
2800308,Aracaju,A409,Aracaju
2803005,Itabaianinha,A417,Itabaianinha
2805505,Poço Verde,A419,Poco Verde
2801405,Carira,A420,Carira
2800704,Brejo Grande,A421,Brejo Grande
2802908,Itabaiana,A451,Itabaiana
2804508,Nossa Senhora da Glória,A453,Nossa Senhora Da Gloria
1200344,Manoel Urbano,A102,Parque Estadual Chandless
1200401,Rio Branco,A104,Rio Branco
1200203,Cruzeiro do Sul,A108,Cruzeiro Do Sul
1200393,Porto Walter,A136,Porto Walter
1200351,Marechal Thaumaturgo,A137,Marechal Thaumaturgo
1200302,Feijó,A138,Feijo
1200252,Epitaciolândia,A140,Epitaciolandia
1302603,Manaus,A101,Manaus
1301407,Eirunepé,A109,Eirunepe
1300706,Boca do Acre,A110,Boca Do Acre
1302405,Lábrea,A111,Labrea
1301704,Humaitá,A112,Humaita
1300144,Apuí,A113,Apui
1301209,Coari,A117,Coari
1302504,Manacapuru,A119,Manacapuru
1300300,Autazes,A120,Autazes
1301902,Itacoatiara,A121,Itacoatiara
1302900,Maués,A122,Maues
1303403,Parintins,A123,Parintins
1304302,Urucará,A124,Urucara
1303569,Rio Preto da Eva,A125,Rio Urubu
1303536,Presidente Figueiredo,A126,Presidente Figueiredo
1300409,Barcelos,A128,Barcelos
1302702,Manicoré,A133,Manicore
1303809,São Gabriel da Cachoeira,A134,S. G. Da Cachoeira
1300144,Apuí,A144,Novo Aripuana
1600501,Oiapoque,A242,Oiapoque
1600535,Porto Grande,A244,Porto Grande
1600303,Macapá,A249,Macapa
1600253,Itaubal,A251,Itaubal
1501402,Belém,A201,Belem
1502400,Castanhal,A202,Castanhal
1504455,Medicilândia,A209,Medicilandia
1505486,Pacajá,A210,Pacaja
1505650,Placas,A211,Placas
1505502,Paragominas,A212,Paragominas
1508001,Tomé-Açu,A213,Tome Acu
1506187,Rondon do Pará,A214,Rondon Do Para
1506203,Salinópolis,A215,Salinopolis
1507300,São Félix do Xingu,A216,Sao Felix Do Xingu
1501709,Bragança,A226,Braganca
1507904,Soure,A227,Soure
1501808,Breves,A228,Breves
1508100,Tucuruí,A229,Tucurui
1505536,Parauapebas,A230,Serra Dos Carajas
1503606,Itaituba,A231,Itaituba
1505106,Óbidos,A232,Obidos
1506708,Santana do Araguaia,A233,Santana Do Araguaia
1508084,Tucumã,A234,Tucuma
1505064,Novo Repartimento,A235,Novo Repartimento
1502103,Cametá,A236,Cameta
1504802,Monte Alegre,A239,Monte Alegre
1504208,Marabá,A240,Maraba
1502707,Conceição do Araguaia,A241,Conceicao Do Araguaia
1503606,Itaituba,A246,Mina Do Palito
1508407,Xinguara,A247,Xinguara
1502301,Capitão Poço,A248,Capitao Poco
1506807,Santarém,A250,Santarem
1502939,Dom Eliseu,A252,Dom Eliseu
1500602,Altamira,A253,Altamira
1506138,Redenção,A254,Redencao
1506583,Santa Maria das Barreiras,A256,Santa Maria Das Barreiras
1100205,Porto Velho,A925,Porto Velho
1100304,Vilhena,A938,Vilhena
1100049,Cacoal,A939,Cacoal
1100023,Ariquemes,A940,Ariquemes
1400100,Boa Vista,A135,Boa Vista
1721000,Palmas,A009,Palmas
1716208,Paranã,A010,Parana
1716604,Peixe,A018,Peixe
1709500,Gurupi,A019,Gurupi
1716505,Pedro Afonso,A020,Pedro Afonso
1702109,Araguaína,A021,Araguaina
1707009,Dianópolis,A038,Dianopolis
1708205,Formoso do Araguaia,A039,Formoso Do Araguaia
1712702,Mateiros,A040,Mateiros
1703909,Caseara,A041,Marianopolis Do To
1703842,Campos Lindos,A043,Campos Lindos
1702208,Araguatins,A044,Araguatins
